Wall time,Step,Value
1570072821.3167193,231,0.3080933094024658
1570073540.9778106,523,0.031689781695604324
1570074019.7300682,717,0.021263115108013153
1570074379.8167536,863,0.04541889950633049
1570075099.8732743,1155,0.04235866293311119
1570076541.0651124,1739,0.029977113008499146
1570077019.7759352,1933,0.013169468380510807
1570077259.613039,2030,0.012262965552508831
1570077501.0869071,2128,0.029295796528458595
1570077619.7870746,2176,0.021417314186692238
1570077861.2405443,2274,0.021816926077008247
1570078580.0513911,2565,0.018807075917720795
1570078700.894658,2614,0.01748724654316902
1570078819.6189833,2662,0.009006096050143242
1570078940.4422898,2711,0.007363343611359596
1570080021.2712276,3149,0.013848276808857918
1570080379.5758543,3294,0.012671925127506256
1570080740.0605347,3440,0.011031205765902996
1570080860.9471023,3489,0.010111568495631218
1570080979.5750687,3537,0.0730532854795456
1570081100.3716614,3586,0.00762510672211647
1570081699.8796186,3829,0.007543396670371294
1570082660.5323455,4218,0.005593412555754185
1570083499.9075613,4558,0.005689323879778385
1570084460.1155875,4947,0.011804608628153801
1570084820.1057167,5093,0.005357921123504639
1570084941.0313683,5142,0.008979432284832
1570085780.0278416,5482,0.011884773150086403
1570086380.0041778,5725,0.006638082675635815
1570087339.923038,6114,0.01938997209072113
1570087699.9921718,6260,0.005223441403359175
1570087821.1008053,6309,0.0045282915234565735
1570088899.8569212,6746,0.002124343067407608
1570089139.7543287,6843,0.006560574285686016
1570089260.4005044,6892,0.005045290105044842
1570089381.1586957,6941,0.08037911355495453
1570090221.0907595,7281,0.005066295620054007
1570090821.164254,7524,0.005747406743466854
1570091060.8316972,7621,0.0022201156243681908
1570091179.5953493,7669,0.0035337498411536217
1570091660.849144,7864,0.022171035408973694
1570092260.3194637,8107,0.003727274015545845
1570092381.1499763,8156,0.02104339934885502
1570092739.7320957,8301,0.031150663271546364
1570093460.0770838,8593,0.0010238816030323505
1570093580.7614915,8642,0.0024137268774211407
1570093820.2391381,8739,0.0709315687417984
1570094180.5092845,8885,0.008473988622426987
1570094419.7013826,8982,0.005174050107598305
1570094541.1910744,9031,0.0023130313493311405
1570094780.402812,9128,0.006607539020478725
1570095019.8562627,9225,0.005193475633859634
1570095140.918129,9274,0.02253604307770729
1570095980.1782966,9614,0.0020444209221750498
1570096940.342457,10003,0.002331745345145464
1570097061.163212,10052,0.005739801097661257
1570097179.6702964,10100,0.001920756883919239
1570097659.5954967,10294,0.005416713654994965
1570098861.0944953,10781,0.0056159053929150105
1570098979.647552,10829,0.002896802732720971
1570099219.6555822,10926,0.003606780432164669
1570099701.023075,11121,0.0022769253700971603
1570100059.5594344,11266,0.002748998114839196
1570100180.147512,11315,0.012646474875509739
1570100301.085874,11364,0.0021960202138870955
1570100659.5663407,11509,0.0034416825510561466
1570102101.1757162,12093,0.003631173400208354
1570102819.6486745,12384,0.003790349466726184
1570103179.7486193,12530,0.0014983100118115544
1570103419.6042933,12627,0.0007753745885565877
1570103540.4014692,12676,0.001170825446024537
1570103779.774331,12773,0.011107539758086205
1570104261.1422753,12968,0.0016832490218803287
1570104740.506902,13162,0.01114187203347683
1570104979.8179216,13259,0.0023133745416998863
1570105580.0020654,13502,0.0037750962655991316
1570107259.6323183,14182,0.005701194051653147
1570107859.710965,14425,0.0012760756071656942
1570107980.681191,14474,0.0012293204199522734
