0.27,3.275,9.271
0.144,3.252,9.283
0.373,3.481,9.384
0.244,3.06,9.374
0.359,3.259,9.436
0.38,3.316,9.379
0.256,3.347,9.365
0.273,3.374,9.343
0.299,3.376,9.214
0.215,3.307,9.381
0.266,3.287,9.343
0.39,3.268,9.324
0.376,3.278,9.367
0.306,3.302,9.412
0.311,3.285,9.288
0.28,3.307,9.424
0.359,3.481,9.396
0.378,3.273,9.312
0.356,3.027,9.367
0.254,3.175,9.417
0.182,3.383,9.336
0.213,3.407,9.36
0.325,3.235,9.441
0.311,3.027,9.379
0.342,2.95,9.398
0.27,3.196,9.408
0.402,3.311,9.247
-1.321,2.531,9.07
0.014,3.041,9.434
0.833,3.371,9.427
0.27,3.118,9.412
0.263,3.424,9.36
0.335,3.493,9.331
0.708,3.787,9.164
0.28,3.311,9.525
0.129,2.986,9.326
-0.134,2.869,9.288
0.646,3.34,9.307
0.421,3.457,9.326
0.419,3.412,9.403
0.691,3.23,9.286
0.077,3.307,9.161
0.546,3.603,9.499
0.378,3.084,9.329
0.49,3.079,9.365
0.44,3.232,9.3
0.345,3.328,9.197
0.73,3.407,9.278
0.419,3.199,9.41
-0.309,4.216,9.417
0.29,4.07,9.286
0.383,2.84,9.202
0.397,2.996,9.302
1.495,3.228,9.085
0.447,3.491,9.862
1.242,3.63,9.13
0.632,3.235,9.113
1.036,3.634,9.319
0.871,3.613,9.128
-0.395,3.089,9.446
-0.017,3.522,9.405
-0.053,3.883,9.314
-0.313,4.091,9.24
-0.457,3.589,9.331
0.976,2.897,9.288
0.785,2.828,9.211
0.708,3.33,9.365
0.933,3.326,9.247
0.313,3.608,9.372
0.538,3.503,9.374
-0.117,3.4,9.388
0.012,3.295,9.331
0.38,3.45,9.353
0.514,3.35,9.283
0.479,3.529,9.135
-0.086,2.938,9.649
0.404,3.634,9.333
0.249,3.467,9.355
0.022,3.228,9.432
0.373,3.256,9.398
0.869,3.78,9.341
0.287,3.051,9.345
0.122,3.23,9.29
0.089,3.452,9.386
0.203,3.158,9.31
0.536,3.17,9.355
0.5,3.18,9.393
0.096,3.007,9.396
0.134,3.125,9.3
0.354,3.469,9.369
0.397,3.263,9.391
0.175,3.108,9.36
0.194,3.168,9.3
0.189,3.292,9.336
0.129,3.218,9.398
0.057,3.158,9.362
0.311,3.28,9.386
0.29,3.371,9.264
0.266,3.268,9.388
0.117,3.139,9.35
0.17,3.199,9.36
0.371,3.335,9.211
0.249,3.433,9.372
0.148,3.292,9.384
0.081,3.216,9.365
0.443,3.426,9.329
0.124,3.189,9.264
0.223,3.278,9.379
0.311,3.237,9.286
0.115,3.297,9.403
