0.007,0.878,9.97
0.256,0.579,10.274
0.05,0.347,10.082
-0.136,0.498,9.762
-0.462,0.818,10.061
-0.397,1.177,10.216
-0.199,1.062,9.833
-0.127,0.321,9.867
-0.093,0.318,9.896
0.254,0.502,9.877
0.278,0.742,9.881
0.232,1.192,10.099
0.498,0.665,9.795
0.749,1.007,9.666
0.144,1.165,9.463
-0.536,0.921,10.673
-1.247,0.548,10.616
-1.206,0.175,10.355
0.112,1.091,9.527
0.701,0.653,9.91
0.524,0.17,10.281
0.368,-0.179,10.113
0.569,0.364,9.58
0.821,1.773,9.628
0.569,1.223,10.039
0.412,0.969,9.905
0.124,0.708,9.874
-0.089,0.677,9.948
-0.361,0.385,10.305
-0.184,1.022,10.092
-0.361,0.675,10.008
-0.342,0.538,9.939
-0.045,0.66,9.845
0.179,1.184,9.853
0.074,0.218,10.073
-0.409,0.751,9.953
-0.227,0.579,9.963
0.012,1.165,9.932
-0.112,0.737,9.965
0.041,0.864,9.853
0.356,0.935,9.747
0.189,0.842,9.92
0.014,0.486,9.884
-0.203,0.505,9.915
-0.002,0.646,10.085
-0.002,0.706,9.977
-0.045,0.787,9.86
-0.165,0.656,9.872
-0.268,0.658,9.958
-0.179,0.684,10.015
-0.227,0.572,9.855
-0.278,0.864,10.015
-0.306,0.979,9.898
-0.445,0.735,9.833
-0.44,0.746,9.881
-0.201,0.715,9.774
-0.706,0.608,10.274
-0.608,0.33,9.979
-0.553,0.802,9.738
-0.469,1.168,9.668
-1.562,0.971,9.628
-0.852,0.701,10.109
-0.55,0.837,9.805
-0.62,0.833,9.975
-0.395,0.675,9.946
-0.378,0.725,9.977
-0.811,0.481,10.075
-1.108,0.919,9.74
-0.694,0.598,10.018
1.036,1.177,9.592
0.115,0.802,9.843
-0.39,0.546,9.915
-0.376,0.718,9.91
-0.258,0.83,9.994
0.033,1.39,9.896
-0.156,0.859,9.848
-0.206,0.577,9.9
-0.368,0.866,9.984
0.033,0.916,9.755
-0.431,0.787,10.058
-0.366,0.725,9.939
-0.333,0.792,10.003
-0.199,0.782,9.822
-0.124,0.976,9.865
-0.232,1.0,9.987
0.029,0.998,9.786
-0.072,0.967,10.121
-0.179,0.66,9.845
-0.05,0.959,9.896
0.172,1.275,9.932
0.179,0.971,9.956
0.182,0.854,9.853
0.234,0.797,9.807
0.33,0.943,10.027
0.311,0.904,9.934
0.16,0.684,9.881
0.153,0.809,9.886
0.156,1.072,9.948
0.16,1.232,9.881
0.12,1.146,9.877
0.01,0.806,9.979
0.151,0.758,9.896
0.203,0.773,9.932
0.182,0.95,9.932
0.34,0.995,9.855
0.335,0.869,9.853
0.237,0.766,9.891
0.366,0.84,9.855
0.462,0.904,9.788
0.433,1.072,9.929
0.254,1.007,9.92
0.182,0.885,9.898
0.313,0.914,9.874
0.333,0.9,9.927
0.266,0.792,9.857
1.247,1.558,9.953
-0.364,0.065,11.066
-0.345,0.723,10.468
0.163,0.467,9.575
-0.825,1.653,10.264
-0.574,0.569,10.295
0.548,0.897,9.575
0.412,0.811,9.79
0.258,0.835,9.979
0.167,0.943,9.951
0.041,0.835,10.02
0.117,0.703,9.889
0.156,0.792,9.817
0.096,0.603,9.987
0.268,0.799,9.979
0.292,0.828,9.941
0.443,1.005,9.826
0.404,0.916,9.903
0.23,0.615,9.958
0.414,0.579,9.731
0.342,0.758,9.881
0.213,0.921,9.877
0.189,1.184,9.967
0.122,1.29,9.939
0.105,1.505,10.049
0.187,1.347,9.984
