0.239,3.919,9.264
0.27,3.618,9.185
0.328,3.618,9.381
0.45,3.462,9.319
0.498,3.381,9.271
0.189,3.519,9.448
0.151,3.594,9.448
0.263,3.766,9.101
0.376,3.819,8.963
0.426,3.979,9.238
0.029,3.914,9.518
0.041,3.541,9.314
0.304,3.749,9.266
0.388,3.694,9.403
0.569,3.397,9.348
0.218,3.371,9.36
0.211,3.622,9.288
0.488,3.85,9.283
0.457,3.962,9.326
0.129,3.804,9.266
0.29,3.728,9.178
0.218,3.268,9.065
0.517,3.397,9.379
0.591,3.764,9.518
0.526,3.831,9.398
0.194,3.996,9.13
0.024,3.651,9.008
0.122,3.737,9.245
0.639,3.979,9.341
0.565,4.072,9.496
0.282,3.929,9.477
0.285,3.986,9.336
0.498,3.795,9.085
0.651,3.886,8.924
0.404,4.094,9.178
0.282,3.642,9.24
0.378,3.761,9.379
0.285,4.089,9.384
0.423,3.534,8.994
0.581,3.783,8.96
0.601,3.936,9.034
0.325,4.043,9.089
0.304,4.041,9.228
0.51,4.194,9.192
0.325,3.816,9.006
0.172,3.89,8.977
0.261,4.096,9.07
0.218,4.017,9.281
0.261,3.991,9.171
0.663,4.24,9.219
0.926,4.343,9.441
0.725,4.378,9.36
0.337,3.869,9.128
0.333,4.063,9.116
0.419,4.225,9.113
0.39,4.154,9.125
0.368,3.821,8.996
0.758,4.209,9.006
0.445,4.189,8.903
0.452,4.17,9.099
0.55,4.055,9.056
0.849,4.18,9.049
1.012,4.445,9.202
0.751,4.407,9.106
0.325,4.565,9.123
0.493,4.465,9.092
0.184,4.319,9.097
0.584,4.213,9.008
0.325,4.283,9.245
0.447,3.979,9.116
0.278,5.434,11.161
1.084,3.615,8.589
0.014,2.957,8.731
0.146,3.481,9.286
0.28,3.886,9.36
2.577,3.814,8.376
-1.486,3.003,9.922
1.014,4.237,9.64
0.467,3.933,8.692
0.842,4.01,8.745
0.364,3.347,8.692
0.589,3.876,9.274
0.385,4.314,9.577
0.144,4.297,9.554
-0.297,4.003,9.594
-0.211,3.321,9.061
-0.493,3.859,8.987
0.203,4.204,9.233
0.361,3.708,9.02
-0.34,3.984,9.441
-0.309,3.766,9.702
0.423,4.065,9.606
0.519,3.699,9.501
-0.072,3.273,9.317
0.163,3.792,9.594
-0.175,3.484,9.446
-0.423,3.565,9.472
-0.306,3.699,9.412
-0.416,3.409,9.353
-3.137,2.213,8.01
-0.452,3.854,9.85
0.045,3.311,9.613
-0.036,3.565,9.628
-0.086,3.388,9.424
0.342,3.615,9.226
-0.108,3.517,9.477
0.203,3.101,9.549
0.11,3.285,9.731
-0.361,3.204,9.714
0.258,3.417,9.633
0.06,2.852,9.321
-0.23,3.421,9.601
-0.053,3.831,9.75
0.502,3.436,9.221
0.574,3.431,9.054
0.345,3.567,9.166
-0.225,3.228,9.451
-0.048,3.421,9.845
-0.11,3.419,9.905
0.426,3.211,9.283
0.88,3.158,8.762
0.435,3.347,9.121
0.246,3.725,9.434
-0.153,3.668,9.592
-0.043,3.417,9.635
0.256,3.247,9.479
