1.153,-1.57,9.853
0.165,-2.479,9.125
-0.866,-2.44,10.128
0.407,-2.632,9.826
1.177,-2.22,9.628
0.371,-2.338,9.81
-0.089,-2.483,10.085
0.356,-2.259,9.836
0.694,-2.273,9.783
0.376,-2.417,9.807
0.234,-2.481,9.853
0.502,-2.546,9.757
0.459,-2.548,9.786
0.273,-2.527,9.838
0.364,-2.464,9.798
0.371,-2.156,9.896
0.258,-2.053,9.874
0.22,-2.196,9.941
0.376,-2.316,9.91
0.419,-2.361,9.879
0.39,-2.299,9.819
0.349,-2.393,9.891
0.385,-2.254,9.869
0.388,-2.28,9.905
0.297,-2.328,9.886
0.27,-2.299,9.869
0.617,-2.469,9.343
0.502,-2.905,9.86
0.835,-2.007,9.692
0.763,-2.082,9.879
-0.469,-2.534,10.214
-1.455,-1.816,9.831
0.325,-2.275,9.886
0.88,-1.849,9.656
0.864,-2.483,9.714
0.237,-1.967,9.817
0.613,-2.723,9.936
0.696,-3.118,9.886
0.215,-2.357,9.836
-0.122,-1.361,10.018
-0.345,-2.22,10.31
0.275,-1.23,9.609
0.476,-2.333,9.865
0.935,-3.347,9.848
0.888,-2.948,9.604
0.251,-2.491,9.771
1.017,-2.938,9.714
-1.44,2.256,9.398
-0.024,-3.941,10.054
0.725,-3.814,10.118
0.278,-2.361,9.979
0.718,-2.579,9.838
0.129,-1.785,10.104
0.278,-2.378,9.915
1.215,-2.735,9.415
1.041,-1.615,9.525
-0.05,-1.256,10.013
-1.811,-4.749,10.255
-0.395,-2.388,9.594
1.96,0.301,8.876
0.787,-2.871,10.058
-0.725,-2.318,10.027
0.084,-2.043,9.738
-0.036,-2.082,9.927
0.993,-3.467,9.826
-0.184,-2.208,9.802
-0.426,-2.625,10.111
-0.306,-1.845,9.956
0.062,-2.57,10.044
0.512,-4.223,9.881
-0.127,-3.385,9.711
-0.136,-2.967,8.943
0.297,-2.321,9.726
0.593,-2.247,10.178
-0.258,-2.098,9.788
0.397,-3.149,9.695
-0.955,-2.031,10.525
0.187,-1.395,9.927
0.744,-2.424,9.003
0.086,-2.771,9.688
-0.146,-2.34,9.908
-0.739,-1.603,9.881
-0.794,-1.524,9.81
-0.584,-1.983,10.037
-0.94,-2.558,10.381
-0.366,-2.524,10.133
0.256,-2.486,9.587
0.452,-2.397,9.939
0.179,-2.598,9.644
-0.177,-2.818,9.86
-0.605,-2.991,9.755
0.017,-2.591,9.807
0.328,-2.251,9.7
0.397,-2.127,9.934
0.268,-1.766,9.934
0.261,-2.431,9.812
0.23,-2.608,9.975
0.543,-2.864,9.944
0.914,-2.163,9.764
0.864,-2.278,9.566
0.309,-2.342,9.879
0.29,-2.991,9.991
-0.103,-2.457,9.886
0.055,-1.854,9.824
0.146,-2.01,9.762
-0.022,-2.376,10.113
0.144,-2.156,9.857
-0.017,-2.424,10.073
0.065,-2.565,9.845
0.543,-2.01,9.802
0.5,-2.053,9.757
0.488,-2.572,9.69
-0.038,-3.314,9.989
-1.196,-3.481,7.659
1.591,-3.551,10.532
1.524,-1.337,9.525
1.172,-1.491,9.599
0.83,-2.005,9.905
0.952,-2.266,9.644
1.16,-2.749,9.573
1.598,-1.799,9.496
0.629,-2.967,9.989
1.086,-3.168,9.63
1.849,-6.785,8.321
0.0,-1.33,9.726
-3.601,-1.926,10.554
-0.534,-2.962,10.374
2.371,-2.105,9.362
1.304,-1.723,9.51
-0.756,-2.617,10.195
-0.469,-2.718,10.116
0.993,-2.357,9.668
1.048,-2.302,9.704
0.022,-2.357,9.984
-0.074,-2.369,9.975
0.574,-2.462,9.838
0.718,-2.357,9.774
0.278,-2.208,9.841
0.134,-2.436,9.932
0.462,-2.462,9.767
0.529,-2.476,9.788
0.275,-2.539,9.884
0.301,-2.524,9.884
0.435,-2.314,9.869
0.376,-2.283,9.795
0.246,-2.354,9.893
0.352,-2.359,9.855
0.349,-2.402,9.833
0.361,-2.491,9.814
0.38,-2.591,9.795
0.526,-2.579,9.762
0.517,-2.493,9.778
0.467,-2.39,9.853
0.397,-2.218,9.862
0.404,-2.223,9.889
0.409,-2.299,9.881
-2.077,0.435,6.383
0.778,-5.733,10.326
3.108,-2.802,9.307
0.438,-1.711,8.903
-0.995,-2.357,10.491
-0.897,-2.811,10.3
1.053,-2.237,9.546
1.275,-2.438,9.635
0.065,-2.617,10.001
-0.244,-2.417,9.979
0.579,-2.35,9.752
0.825,-2.443,9.7
0.323,-2.479,9.824
0.191,-2.522,9.829
0.488,-2.639,9.783
0.624,-2.632,9.719
0.361,-2.467,9.872
0.218,-2.388,9.85
0.419,-2.326,9.867
0.483,-2.33,9.826
0.378,-2.385,9.845
0.352,-2.347,9.783
0.45,-2.393,9.838
0.455,-2.419,9.795
0.438,-2.383,9.81
0.414,-2.393,9.836
0.388,-2.433,9.838
0.273,-2.498,9.845
0.349,-2.613,9.757
0.435,-2.701,9.795
0.416,-2.579,9.771
0.376,-2.397,9.8
0.438,-2.328,9.795
0.414,-2.445,9.843
0.407,-2.57,9.836
0.364,-2.56,9.833
0.428,-2.505,9.726
0.359,-2.574,9.822
0.345,-2.567,9.795
0.414,-2.457,9.819
0.51,-2.491,9.781
0.34,-2.608,9.857
0.299,-2.376,9.865
0.38,-2.261,9.802
0.395,-2.314,9.836
0.33,-2.385,9.812
-0.919,-1.421,4.704
-0.39,-3.326,11.061
2.158,-2.428,9.642
0.809,-2.019,9.487
-0.813,-3.79,9.666
-0.342,-1.952,9.917
1.098,-2.127,9.616
0.895,-2.419,9.822
-0.06,-2.402,9.889
-0.048,-2.584,9.989
0.526,-2.627,9.764
0.608,-2.448,9.735
0.254,-2.383,9.824
0.199,-2.491,9.865
0.538,-2.464,9.728
