-0.907,5.96,7.726
-0.876,5.833,7.565
-0.797,6.034,7.637
-0.849,6.106,7.565
-0.971,5.958,7.628
-1.101,5.847,7.592
-0.78,6.192,7.58
-0.689,6.252,7.718
-0.859,6.005,7.69
-1.254,5.862,7.785
-0.971,6.051,7.807
-1.038,6.237,7.915
-0.861,6.266,7.831
-1.048,6.003,7.826
-0.931,6.075,7.843
-1.065,5.929,7.819
-0.876,6.065,7.675
-0.967,6.044,7.69
-0.974,6.048,7.683
-0.859,6.158,7.709
-1.0,5.981,7.706
-1.014,5.986,7.687
-0.864,6.092,7.812
-0.986,6.01,7.738
-0.837,6.135,7.773
-1.024,6.025,7.8
-0.914,6.068,7.819
-0.845,6.087,7.805
-0.785,6.075,7.788
-0.775,6.034,7.721
-0.907,6.027,7.678
-0.842,6.015,7.618
-0.735,6.044,7.644
-0.629,6.063,7.685
-0.813,5.955,7.654
-0.866,6.094,7.666
-0.746,6.077,7.702
-0.684,6.206,7.742
-0.742,6.113,7.706
-0.924,5.979,7.726
-0.823,6.173,7.704
-0.751,6.17,7.687
-0.66,6.092,7.735
-0.744,6.154,7.687
-0.804,6.235,7.549
-0.749,6.166,7.726
-0.677,6.108,7.606
-0.797,5.948,7.611
-0.737,6.242,7.642
-0.739,6.178,7.565
-0.813,5.967,7.635
-0.892,5.969,7.716
-0.833,6.163,7.628
-0.763,6.29,7.594
-0.775,6.147,7.733
-0.763,5.993,7.745
-0.79,5.996,7.668
-0.735,6.022,7.663
-0.804,6.048,7.821
-0.842,5.972,7.733
-0.845,6.003,7.759
-0.931,6.058,7.759
-0.806,6.115,7.764
-0.84,5.943,7.831
-0.837,5.991,7.864
-0.818,6.053,7.814
-0.924,6.068,7.829
-0.813,6.135,7.797
-0.735,6.123,7.8
-0.79,6.089,7.723
-0.725,6.08,7.766
-0.811,5.981,7.726
-0.778,6.089,7.673
-0.694,6.101,7.807
-0.725,6.216,7.74
-0.651,6.082,7.69
-0.648,6.008,7.659
-0.833,5.725,7.706
-0.845,5.958,7.75
-0.629,6.127,7.675
-0.684,6.084,7.197
-0.756,5.948,7.618
-0.601,5.974,7.776
-0.758,5.969,7.702
-0.672,6.077,7.711
-0.713,5.953,7.718
-0.514,6.039,7.73
-0.081,6.331,7.57
-0.842,6.001,7.644
-0.897,5.812,7.62
-0.321,6.125,7.496
-1.273,6.053,7.529
-1.967,5.709,7.747
-1.706,6.065,8.238
-0.313,6.721,8.24
0.287,6.431,7.946
-1.483,5.532,7.965
-1.223,5.178,7.723
-0.945,5.472,7.9
-0.72,5.917,7.919
-0.766,6.161,7.85
-1.165,6.003,8.013
-1.244,5.864,8.096
-1.342,5.725,8.077
-1.089,5.924,7.872
-0.878,6.108,7.75
-0.83,6.029,7.776
-0.636,5.895,7.64
-0.687,5.926,7.654
-0.746,6.103,7.683
-0.727,6.065,7.666
-0.682,6.044,7.757
-0.971,5.864,7.714
-0.586,6.51,7.752
-0.852,5.862,7.673
-0.916,5.749,7.759
-0.907,5.735,7.762
-0.859,6.225,7.852
-0.524,6.07,7.723
-0.852,5.713,7.826
-0.634,5.764,7.833
-0.656,5.883,7.826
-1.122,5.666,7.829
-0.77,6.137,7.848
-0.682,6.084,7.8
-0.713,5.812,7.85
-1.16,5.663,7.905
-0.687,6.151,7.9
-0.254,5.907,7.697
-0.761,6.261,8.018
-0.775,6.79,7.97
-1.369,5.697,7.75
-1.12,6.065,7.788
-0.708,6.496,7.503
-0.66,6.436,7.486
-0.541,3.252,5.596
-2.235,5.721,7.773
-0.849,6.723,7.656
0.426,7.163,7.599
-1.364,4.56,8.472
-1.168,5.532,7.628
-0.778,6.077,8.073
-0.935,5.977,8.24
-0.725,5.769,8.07
-0.904,5.611,8.147
-0.964,5.9,8.082
-0.821,6.245,8.027
-0.775,5.835,7.872
-0.66,5.855,7.879
-0.385,5.967,7.697
-0.577,6.137,7.678
-0.524,6.101,7.486
-0.529,6.041,7.63
-0.648,6.127,7.496
-0.715,6.58,7.41
-0.5,6.283,7.271
-0.711,5.926,7.434
-0.778,6.324,7.522
-0.701,5.881,7.47
-0.852,6.534,7.599
-0.39,6.431,7.587
-0.825,3.866,6.802
-0.981,6.412,6.953
-1.203,6.91,7.809
-0.469,6.113,7.489
-0.957,5.852,7.848
-1.242,6.599,7.852
-0.514,5.285,7.484
-0.641,6.362,7.788
-0.663,5.649,7.625
-0.746,6.046,7.745
-1.141,6.022,7.802
-0.668,6.161,7.644
-0.723,6.197,7.618
-0.572,6.34,7.501
-0.842,6.032,7.515
-0.957,5.864,7.52
-0.677,6.182,7.563
-0.557,6.529,7.592
-0.763,6.738,7.623
-0.758,6.092,7.616
-1.278,5.759,7.666
-0.624,6.211,7.675
-0.615,5.981,7.656
-0.921,6.747,7.924
-0.613,6.405,7.728
-1.0,6.12,7.702
-0.787,5.922,7.632
-0.679,6.07,7.651
-0.572,7.015,7.453
-1.05,8.238,8.285
-0.421,5.462,7.647
-1.117,5.527,7.998
-0.806,5.879,7.637
-0.632,5.773,7.63
-1.144,6.426,8.269
-1.17,6.436,8.451
-0.048,5.175,7.534
-1.254,5.981,8.053
-0.62,6.036,7.843
-0.766,6.053,7.685
-0.629,6.072,7.685
-0.416,6.304,7.546
-0.502,5.785,7.395
-0.73,6.096,7.494
-0.636,6.307,7.513
-0.593,6.328,7.532
-0.593,6.379,7.517
-0.691,6.245,7.541
-0.78,6.139,7.558
-0.706,6.113,7.568
-0.639,6.075,7.668
-0.639,6.225,7.699
-0.507,6.237,7.766
-0.792,6.017,7.795
-0.763,6.01,7.778
-0.703,6.099,7.797
-0.613,6.08,7.75
-0.854,5.874,7.628
-0.861,5.859,7.663
-0.758,5.658,7.716
