0.445,3.055,9.57
-0.455,3.68,9.329
0.749,2.814,9.252
0.033,3.027,9.621
0.701,3.314,9.312
0.299,3.175,9.534
0.565,2.986,9.465
0.132,2.83,9.491
0.251,2.78,9.451
0.136,3.299,10.133
0.223,2.452,9.546
0.156,2.732,9.532
0.33,2.668,9.487
0.16,2.718,9.499
0.163,2.637,9.537
0.268,2.864,9.489
0.187,2.859,9.566
0.421,2.708,9.436
0.124,2.795,9.463
0.251,2.799,9.549
0.0,2.885,9.53
0.256,2.606,9.427
0.139,2.838,9.616
0.124,2.9,9.501
0.017,2.938,9.542
0.263,2.94,9.47
0.031,3.024,9.52
-0.201,2.823,9.549
0.617,2.79,9.475
0.629,2.814,9.477
0.278,2.747,9.537
-0.05,2.826,9.68
0.045,2.9,9.589
0.1,2.873,9.499
0.488,2.83,9.384
0.361,2.931,9.448
0.397,3.122,9.508
0.266,3.024,9.58
0.318,2.816,9.508
0.167,2.534,9.582
0.931,3.297,9.168
0.711,3.053,9.599
0.1,2.476,9.649
0.378,2.402,9.281
0.318,2.716,9.635
0.861,2.878,9.51
1.072,3.055,9.216
0.321,2.986,9.7
0.318,2.845,9.534
0.416,2.67,9.398
0.524,2.809,9.35
0.311,2.627,9.633
0.287,2.869,9.324
0.163,3.103,9.697
0.06,2.984,9.711
0.323,2.742,9.46
0.29,2.62,9.556
0.464,2.62,9.489
0.278,2.661,9.575
0.383,2.665,9.513
0.148,2.661,9.453
0.134,2.708,9.534
0.261,2.67,9.582
0.234,2.742,9.496
0.163,2.802,9.613
0.251,2.79,9.613
0.309,2.79,9.561
0.297,2.725,9.412
0.23,2.742,9.589
0.254,2.763,9.554
0.33,2.785,9.592
0.342,2.809,9.506
0.189,2.68,9.599
0.28,2.653,9.525
0.321,2.663,9.458
0.581,2.701,9.51
0.428,2.682,9.503
0.249,2.682,9.599
0.211,2.665,9.577
0.27,2.653,9.52
0.268,2.713,9.604
0.395,2.644,9.544
0.474,2.675,9.463
0.443,2.814,9.592
0.227,2.728,9.491
0.335,2.56,9.475
0.356,2.728,9.532
0.287,2.649,9.609
0.402,2.902,9.508
0.175,2.577,9.542
0.33,2.373,9.451
0.718,2.692,9.499
0.392,3.144,9.439
0.416,2.598,9.721
0.0,2.22,9.74
0.562,2.768,9.448
0.66,2.818,9.427
0.524,2.718,9.47
0.349,2.634,9.652
0.39,2.512,9.618
0.519,2.936,9.355
0.282,3.022,9.381
0.44,3.132,9.52
-0.086,3.034,9.714
0.323,3.103,9.499
0.354,2.996,9.417
0.385,2.792,9.491
0.469,2.821,9.616
0.134,2.539,9.513
0.017,2.479,9.269
-0.007,2.273,9.508
0.153,2.78,10.078
0.711,2.4,9.396
0.361,2.316,9.422
0.086,2.522,9.697
-0.187,2.701,9.697
0.33,2.467,9.496
0.474,2.601,9.654
0.282,2.455,9.637
0.225,2.548,9.568
0.199,2.51,9.484
0.108,2.558,9.494
0.268,2.641,9.709
0.323,2.661,9.582
0.459,2.543,9.539
0.014,2.472,9.652
0.505,2.486,9.534
0.347,2.519,9.487
0.227,2.395,9.575
0.256,2.495,9.683
0.27,2.486,9.621
1.177,2.771,8.429
0.036,2.696,10.156
-0.177,2.376,9.857
0.096,2.522,9.64
0.617,2.768,9.546
-0.665,3.732,9.575
0.12,2.787,9.7
0.534,2.443,9.501
0.187,2.507,9.558
0.234,2.407,9.577
0.084,2.35,9.611
0.156,2.354,9.649
0.584,2.656,9.494
0.39,2.601,9.465
0.151,2.632,9.542
0.112,2.701,9.664
0.218,2.661,9.58
0.16,2.562,9.522
0.144,2.503,9.537
0.124,2.658,9.556
0.287,2.754,9.566
0.031,2.74,9.633
0.385,2.809,9.369
0.038,2.687,9.616
0.127,2.644,9.539
0.01,2.675,9.606
-0.017,2.634,9.53
0.361,2.728,9.475
0.036,2.62,9.644
0.282,2.761,9.544
0.043,2.668,9.487
0.129,2.694,9.436
0.132,2.673,9.589
0.421,2.62,9.539
0.014,2.615,9.635
0.096,2.622,9.515
-0.069,2.567,9.467
0.05,2.522,9.551
0.251,2.562,9.489
0.153,2.661,9.542
-0.347,2.527,10.606
0.002,2.517,9.956
0.469,2.366,9.044
0.275,2.763,9.688
-0.057,2.531,9.479
0.335,2.62,9.489
0.098,2.601,9.623
0.156,2.512,9.518
0.256,2.445,9.604
0.175,2.531,9.613
0.373,2.555,9.482
0.096,2.579,9.611
0.067,2.531,9.544
0.048,2.555,9.527
0.007,2.577,9.628
0.012,2.539,9.654
0.237,2.481,9.522
0.206,2.567,9.568
0.163,2.632,9.613
0.151,2.629,9.582
0.139,2.548,9.577
0.062,2.507,9.554
0.16,2.584,9.606
0.282,2.615,9.566
0.089,2.586,9.532
0.194,2.634,9.482
0.045,2.67,9.58
0.502,2.598,9.527
0.019,2.503,9.582
0.053,2.488,9.558
0.23,2.524,9.585
0.129,2.62,9.647
0.258,2.577,9.539
0.306,2.562,9.465
0.019,2.543,9.558
0.019,2.608,9.611
0.273,2.644,9.491
0.27,2.663,9.496
0.077,2.562,9.666
0.313,2.543,9.479
0.11,2.577,9.551
0.112,2.634,9.577
0.089,2.656,9.482
-0.17,2.979,10.946
-0.098,2.562,10.238
0.23,2.694,8.989
0.211,2.55,9.711
0.397,2.629,9.429
-0.096,2.629,9.51
0.266,2.684,9.623
0.077,2.594,9.573
0.313,2.491,9.513
0.089,2.503,9.618
0.196,2.534,9.46
0.249,2.376,9.57
0.148,2.732,9.637
0.084,2.778,9.542
0.115,2.797,9.508
0.239,2.766,9.525
0.543,2.634,9.432
-0.132,2.814,9.489
0.232,2.472,9.604
-0.043,2.433,9.68
0.057,2.519,9.618
1.684,3.211,9.338
-0.959,2.084,9.857
0.33,2.952,9.372
0.438,2.637,9.652
-0.019,2.766,9.556
0.409,2.45,9.542
0.139,2.481,9.585
0.093,2.414,9.503
0.206,2.598,9.551
0.153,2.639,9.554
0.273,2.692,9.554
0.23,2.632,9.577
0.263,2.668,9.563
0.206,2.517,9.558
0.208,2.582,9.599
0.196,2.491,9.549
0.153,2.381,9.551
0.184,2.383,9.688
0.16,2.271,9.546
0.258,2.804,9.671
0.261,2.23,9.755
0.325,1.605,9.422
0.117,2.818,9.704
-0.227,2.326,9.75
0.519,2.818,9.405
-0.158,3.034,9.805
0.201,2.481,9.467
0.187,2.244,9.455
0.093,2.079,9.446
-0.201,1.893,9.979
0.22,2.237,9.625
0.371,2.512,9.558
0.017,2.548,9.984
-0.024,2.56,9.527
-0.206,2.68,9.592
0.223,2.323,9.295
0.668,2.883,9.372
0.136,2.627,9.458
0.019,3.053,9.972
0.452,2.622,9.369
0.184,2.687,9.594
0.292,1.885,9.589
0.574,2.842,9.082
-0.567,2.579,9.948
0.093,2.476,9.434
0.376,2.534,9.549
0.758,1.692,10.52
0.333,2.701,9.321
0.136,2.737,9.759
0.33,2.541,9.36
0.739,2.443,9.312
0.83,2.397,9.367
1.421,2.182,8.86
-0.629,2.084,10.276
-1.361,2.232,10.111
-0.581,2.778,9.642
-2.828,4.776,10.501
-3.268,2.357,8.293
3.357,1.323,7.762
-0.057,3.309,10.195
-0.388,2.735,9.393
0.613,1.749,9.558
-0.165,1.682,9.963
0.16,1.369,9.321
0.036,2.196,9.688
0.132,2.524,9.735
0.167,2.565,9.534
0.194,2.881,9.656
0.196,2.818,9.609
0.211,2.56,9.592
0.141,2.211,9.604
0.093,2.034,9.604
0.139,2.089,9.63
0.16,2.283,9.642
0.179,2.493,9.68
0.165,2.409,9.563
0.141,2.558,9.611
0.105,2.598,9.637
0.132,2.512,9.659
0.12,2.393,9.601
0.067,2.357,9.652
0.098,2.345,9.68
0.179,2.158,9.63
0.22,2.192,9.604
0.187,2.168,9.594
0.572,3.196,9.649
0.345,2.625,9.843
